flight,start_index,truth_path_km,lstm_mean_error_km,lstm_median_error_km,lstm_p95_error_km,lstm_path_error_km,great_circle_mean_error_km,great_circle_median_error_km,great_circle_p95_error_km,great_circle_path_error_km,linear_mean_error_km,linear_median_error_km,linear_p95_error_km,linear_path_error_km
000449_1743779363,72,189.71702802687412,8.988647989215329,7.397616236968775,15.87098243576311,-20.28491402130078,9.039461325499133,7.456229511229432,16.048493842347504,-20.998692372800946,9.04803713983257,7.464249725289753,16.054300557004897,-20.998484013549387
000449_1743779363,145,0.0,0.278063852772422,0.2709911379439859,0.47637904403505116,1.140359306958932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000449_1744706942,107,81.91009587226766,8.388348987980617,0.2693446155488857,45.073491293107544,-80.78311369523232,8.189100799804969,0.0,45.03814561150544,-81.91009587226766,8.189100799804969,0.0,45.03814561150544,-81.91009587226766
000449_1744706942,123,44.211980389634185,17.66371797700483,17.950027191611383,30.328011890312617,0.7137778376058392,20.858686186278916,21.471220933051338,33.92995845414001,-0.30425265446082506,20.859062558168908,21.47129200863502,33.930351386025194,-0.3042503350630952
000449_1744706942,120,3.774511999985246,4.10922825293142,2.618284605522158,9.946917507297647,3.4918040575417493,5.128337768556437,4.24651267723706,10.552018732708039,3.3185717047143894,5.1284652531604245,4.246669182363929,10.552129022414839,3.318571804828914
000449_1744938243,30,212.12392760060348,20.605208728253707,19.094716308705124,39.644769416165,-8.669672157408513,20.595539128453456,19.06472709065803,39.63263506759635,-9.551503212417373,20.657317817765023,19.101548909724514,39.682094133432415,-9.551230985068088
000449_1744938243,57,114.29435459506104,3.71896864798848,2.5934270632009766,8.54426210555232,-4.561701632578192,3.8064531992884056,2.794386866845551,8.71832477137478,-5.404731383747915,3.8084312162008778,2.7958810573102637,8.71882027542887,-5.404726957379538
000449_1744938243,73,211.63186937432744,24.149242824622696,24.593184609407196,41.6423267853309,-18.23692003514705,24.34136675674079,24.730677529825044,41.71544098559699,-19.073083433156086,24.34198271499184,24.730467875183717,41.71464036386682,-19.073003098128254
000449_1745421708,37,408.6172032192028,74.55050919739573,43.27333789939735,203.51895759542703,3.081073542658828,121.75849903419615,102.59347425207025,268.77016147199447,-39.31469127295077,121.76207343483975,102.59108689443457,268.7675396666395,-39.31416000670811
000449_1745421708,3,269.0783355625921,29.826086618004588,31.320720261873205,49.48853704317918,14.516297175804198,30.28337493400563,30.022410951738,47.440057719701194,9.927242611574911,30.287044113438135,30.027302889348412,47.4445826659268,9.927499086719479
000449_1745421708,40,551.680385082984,81.03892098049145,74.24517608898529,163.94548307749739,-58.48528812873883,85.4423718632096,69.40794812133186,180.44535248365543,-94.21329427935035,85.44866979919983,69.42317966487124,180.44395447604643,-94.21288970787555
000460_1742051563,6,95.76582364872823,6.705895357863443,6.564267740935819,13.46488798802365,14.132464032546281,5.499971761634903,4.962985174082975,10.717238731936597,7.299317512321679,5.500516610285264,4.963738570240317,10.71823789210392,7.299359206696096
000460_1742051563,28,84.47399527628923,6.603737300580159,6.0311802968547905,12.860711292073011,4.9597458541512935,6.611738897784096,6.069575648629884,12.59344142462345,4.053252679803592,6.612226883005247,6.07018964612204,12.5938867604504,4.053264771628733
000460_1742051563,26,90.76406307835083,10.709510958457791,10.11790788147853,18.83123719184541,4.327850253568016,10.691420905991727,10.180187036687201,18.542959581205434,3.422549888565939,10.691078954804379,10.179730178164917,18.542645859342645,3.4225635638815106
000460_1745037542,12,818.7846406529679,35.05049920983218,24.094781659056423,67.05012164547863,8.788442005103889,37.657644223350445,28.90096794253248,82.9693131954728,-81.70799944312091,37.73401126852484,29.054298850468008,82.89078335265822,-81.64151041426464
000460_1745037542,10,686.2971456880778,75.62918778750742,64.22494745154417,168.29182471539315,147.3040839290719,95.78747841024068,89.8993328263355,153.90724757240065,41.47984011287349,96.57840469506162,90.74569580563366,154.83929532637654,41.54236105112727
000460_1745037542,5,495.02120192809605,65.94619052008368,48.949846993263336,145.3459756471536,65.69434081899033,44.24523990647013,32.84565960818873,87.2585091577262,4.441017633352146,44.48852473935357,33.16517930909753,87.56517646447006,4.458989973815505
