flight,truth_gap_dist_km,truth_gap_co2_kg,truth_full_dist_km,truth_full_co2_kg,lstm_gap_dist_km,lstm_gap_dist_err_km,lstm_gap_co2_err_kg,lstm_full_dist_km,lstm_full_dist_err_km,lstm_full_co2_err_kg,great_circle_gap_dist_km,great_circle_gap_dist_err_km,great_circle_gap_co2_err_kg,great_circle_full_dist_km,great_circle_full_dist_err_km,great_circle_full_co2_err_kg,linear_gap_dist_km,linear_gap_dist_err_km,linear_gap_co2_err_kg,linear_full_dist_km,linear_full_dist_err_km,linear_full_co2_err_kg
0201bf_1776769140,66.66908283336107,632.022905260263,1750.6481025218984,16596.144011907596,60.39905253629063,-6.270030297070441,-59.43988721622779,1750.9102039834459,0.26210146154744507,2.4847218554697794,55.106880036447514,-11.56220279691356,-109.60968251474056,1750.628487054986,-0.019615466912455304,-0.18595462633007628,55.10703291473477,-11.5620499186263,-109.60823322857733,1750.6286646307944,-0.0194378911039621,-0.18427120766556074
0201c2_1776775232,24.811072668403988,235.2089688964698,1924.8593339229978,18247.66648559002,20.73093709701063,-4.080135571393356,-38.67968521680902,1924.8628631637002,0.0035292407023916894,0.033457201858673215,20.677820260875016,-4.133252407528971,-39.183232823374645,1924.859241508316,-9.241468183063262e-05,-0.0008760911837543973,20.677828875241648,-4.13324379316234,-39.18315115917898,1924.8592516039837,-8.231901415456377e-05,-0.0007803842541852646
0201c3_1776772323,45.02746122974507,426.8603324579833,2373.271307993011,22498.611999773744,47.179892328215004,2.1524310984699326,20.405046813494963,2373.2745533601997,0.003245367188810633,0.0307660809499248,46.46165870422305,1.4341974744779762,13.596192058051216,2373.2081119074965,-0.0631960855143916,-0.5990988906764324,46.46178568765614,1.4343244579110674,13.59739586099692,2373.2082678416427,-0.06304015136811358,-0.5976206349697168
02a181_1776779508,5.272927766742059,49.987355228714726,1724.039091426333,16343.890586721638,6.467618842204984,1.1946910754629245,11.325671395388525,1724.0426085740228,0.0035171476897630782,0.033342560098953984,6.434343244612187,1.1614154778701273,11.010218730208807,1724.0390304146265,-6.101170652073051e-05,-0.0005783909778165253,6.4343435501634465,1.1614157834213872,11.01022162683475,1724.0390307849982,-6.064133481231693e-05,-0.0005748798540207645
02a181_1776792804,166.1878510227282,1575.4608276954634,1687.073494516602,15993.456728017389,149.590099105246,-16.597751917482213,-157.34668817773138,1687.3867933407255,0.3132988241234216,2.970072852690037,137.8924634076398,-28.2953876150884,-268.24027459103803,1687.0733892315116,-0.00010528509051255242,-0.000998102658058997,137.89370079595946,-28.29415022676875,-268.22854414976774,1687.0749034621642,0.0014089455621615343,0.013356803929291346
02a1a3_1776783526,47.162874380834396,447.1040491303101,1401.9192016116249,13290.194031278204,39.14716366985542,-8.015710710978972,-75.98893754008066,1401.9509083478138,0.03170673618888031,0.3005798590705854,38.83192105956677,-8.330953321267629,-78.97743748561712,1401.9191082087857,-9.340283918390924e-05,-0.0008854589154634596,38.83194977472556,-8.330924606108837,-78.97716526591178,1401.9191432607677,-5.835085721628275e-05,-0.0005531661264103605
02a1a5_1776770197,2.7916336364982417,26.464686874003334,1355.7377882769156,12852.394232865161,2.991170976797819,0.19953734029957726,1.8916139860399925,1355.739564036121,0.0017757592054294946,0.01683419726747161,2.968007039235051,0.17637340273680913,1.6720198579449506,1355.7216532929597,-0.016134983955907956,-0.15295964790200742,2.968007041746242,0.17637340524800038,1.6720198817510437,1355.7216532960647,-0.016134980850893044,-0.15295961846646605
02a1ab_1776782250,2.2088720980140364,20.940107489173066,1431.908484733771,13574.49243527615,2.225210698216452,0.01633860020241551,0.15488992991889905,1431.9453914005007,0.036906666729692006,0.34987520059748023,2.1771129436448695,-0.031759154369166875,-0.301076783419702,1431.896700616202,-0.011784117569050068,-0.11171343455459465,2.1771129658022,-0.03175913221183624,-0.30107657336820753,1431.8967006428115,-0.01178409095950883,-0.11171318229614371
02a1ac_1776776283,6.176199558012479,58.55037180995831,1357.1157233376157,12865.457057240597,6.39221299402159,0.21601343600911083,2.047807373366371,1357.1235968337055,0.00787349608981458,0.07464074293144222,6.316546040884812,0.14034648287233242,1.3304846576297114,1357.1156255376416,-9.779997412806551e-05,-0.0009271437547340611,6.316546263745989,0.14034670573350994,1.3304867703536742,1357.1156258086064,-9.752900928106101e-05,-0.0009245750079844584
02a1b0_1776757387,157.42186578579987,1492.3592876493828,1445.2055128926324,13700.548262222157,142.9075566323582,-14.514309153441673,-137.59565077462707,1446.0098494706167,0.8043365779842588,7.6251107592907745,137.32037915964435,-20.10148662615552,-190.56209321595435,1445.201071291435,-0.004441601197413547,-0.04210637935148043,137.32185609916024,-20.100009686639623,-190.54809182934363,1445.2028859198108,-0.002626972821644813,-0.024903702349192827
